ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;01;AM;PRESIDENTE FIGUEIREDO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;01;AM;PRESIDENTE FIGUEIREDO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;01;AM;TEFÉ                               ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;16                                                ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;AP;MACAPÁ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;AP;MACAPÁ                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento                                                  ;S;1
2025;01;AP;MAZAGÃO                            ;Espingarda                                        ;BAIKAL (IZHEVSK MECHANICAL PLANT)                                     ;12                                                ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;AP;MAZAGÃO                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;Apreensão de Arma de Fogo                                                 ;N;2
2025;01;BA;ALAGOINHAS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;CAMAÇARI                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;CAPIM GROSSO                       ;Pistola                                           ;CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;BA;DOM MACEDO COSTA                   ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Apostilada no Exercito                                                    ;N;1
2025;01;BA;ESPLANADA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Campanha do Desarmamento                                                  ;N;1
2025;01;BA;EUNÁPOLIS                          ;Espingarda                                        ;H. LAPORT (HENRIQUE LAPORT)                                           ;.32                                               ;Roubo de Arma de Fogo                                                     ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Espingarda                                        ;TOROS ARMS                                                            ;12                                                ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;BA;IBICARAÍ                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;01;BA;JEQUIÉ                             ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEQUIÉ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEQUIÉ                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEREMOABO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;BA;SALVADOR                           ;Espingarda                                        ;PARDUS                                                                ;12                                                ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;S;2
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;SALVADOR                           ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SERRINHA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;BA;SERRINHA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;BA;SERROLÂNDIA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;CE;CANINDÉ                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;CASCAVEL                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;CRATEÚS                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;CRATEÚS                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
