ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL;DATA
2025;1;ES;CARIACICA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;ES;COLATINA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;ES;JAGUARÉ                            ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;ES;JAGUARÉ                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo;N;1;2025-01-01
2025;1;ES;JAGUARÉ                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;22LR/22MAG                                        ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;ES;LINHARES                           ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;ES;PIÚMA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;ES;SERRA                              ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.45                                               ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;S;3;2025-01-01
2025;1;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento;S;1;2025-01-01
2025;1;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;ES;SÃO DOMINGOS DO NORTE              ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;ES;SÃO GABRIEL DA PALHA               ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;ES;SÃO MATEUS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;ES;SÃO MATEUS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;ES;VILA VELHA                         ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Campanha do Desarmamento;S;1;2025-01-01
2025;1;ES;VILA VELHA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito;S;1;2025-01-01
2025;1;ES;VITÓRIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;ES;VITÓRIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;ES;VITÓRIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Roubo de Arma de Fogo;S;1;2025-01-01
2025;1;GO;ALEXÂNIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;GO;ANÁPOLIS                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito;S;1;2025-01-01
2025;1;GO;ANÁPOLIS                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento;S;2;2025-01-01
2025;1;GO;ANÁPOLIS                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;GO;GOIATUBA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;N;1;2025-01-01
2025;1;GO;GOIÂNIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;S;3;2025-01-01
2025;1;GO;GOIÂNIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Extravio/Perda de Arma de Fogo;S;1;2025-01-01
2025;1;GO;GOIÂNIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Extravio/Perda de Arma de Fogo;S;1;2025-01-01
2025;1;GO;GOIÂNIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;GO;GOIÂNIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo;S;6;2025-01-01
2025;1;GO;GOIÂNIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;GO;ITABERAÍ                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;GO;JATAÍ                              ;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.357 Mag                                          ;Apostilada no Exercito;S;1;2025-01-01
